id,the_geom,city,latitude,longitude,invalid_the_geom,storenumber,storetype,cartodb_id,state,zip,playplace,drivethru,archcard,freewifi,storeurl,cartodb_georef_status,COUNTY,Grocery_2009,Convenience_2009,Fast_Food_Restaurants_2009,Adult_Diabetes_p_2009,Adult_Obsesity_p_2009,Median_Household_Income_2009,Limited_Access_Populationp_2009,Limited_Access_Population_2009,Population_2009,Grocery_2014,Convenience_2014,Fast_Food_Restaurants_2014,Adult_Diabetes_2014,Adult_Obesity_2014,Median_Household_Income_2014,Limited_Access_p_2014,Limited_Access_2014,Population_2014,FF_per_capita_2009,FF_per_capita_2014,p_change_FF_Per_Capita,Grocery_per_capita_2009,Grocery_per_capita_2014,p_change_in_grocery_per_capita,p_change_in_Access,p_Change_in_Obesity,p_change_in_income
10813,0101000020E6100000FB07910C39B053C0309E4143FF704540,CHEEKTOWAGA,42.88279,-78.753482,Point,12844,FREESTANDING,1602,NY,14227,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/12844,TRUE,Erie,234,327,691,10.3,28.6,46773,26,238054,919040,303,358,770,9.4,26.7,52176,21,192724,923702,0.000751872,0.00083,10.87,0.000254614,0.00032803,28.83,-19.23,-6.64,11.55
10814,0101000020E6100000ECC039234AB453C029CB10C7BA7A4540,AMHERST,42.958825,-78.817025,Point,23299,FREESTANDING,1615,NY,14226,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/23299,TRUE,Erie,234,327,691,10.3,28.6,46773,26,238054,919040,303,358,770,9.4,26.7,52176,21,192724,923702,0.000751872,0.00083,10.87,0.000254614,0.00032803,28.83,-19.23,-6.64,11.55
10815,0101000020E610000094DC611399B453C09B030473F47E4540,AMHERST,42.991835,-78.821843,Point,193,FREESTANDING,1614,NY,14226,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/193,TRUE,Erie,234,327,691,10.3,28.6,46773,26,238054,919040,303,358,770,9.4,26.7,52176,21,192724,923702,0.000751872,0.00083,10.87,0.000254614,0.00032803,28.83,-19.23,-6.64,11.55
10816,0101000020E6100000F99FFCDD3BB053C0361FD7868A754540,CHEEKTOWAGA,42.91829,-78.753654,Point,348,FREESTANDING,1609,NY,14225,TRUE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/348,TRUE,Erie,234,327,691,10.3,28.6,46773,26,238054,919040,303,358,770,9.4,26.7,52176,21,192724,923702,0.000751872,0.00083,10.87,0.000254614,0.00032803,28.83,-19.23,-6.64,11.55
10817,0101000020E6100000B0027CB779B153C0EF8D210038744540,CHEEKTOWAGA,42.907959,-78.773054,Point,22658,FREESTANDING,1606,NY,14225,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/22658,TRUE,Erie,234,327,691,10.3,28.6,46773,26,238054,919040,303,358,770,9.4,26.7,52176,21,192724,923702,0.000751872,0.00083,10.87,0.000254614,0.00032803,28.83,-19.23,-6.64,11.55
10818,0101000020E610000008AEF204C2AE53C0809C306134774540,CHEEKTOWAGA,42.931286,-78.730592,Point,11248,FREESTANDING,1597,NY,14225,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/11248,TRUE,Erie,234,327,691,10.3,28.6,46773,26,238054,919040,303,358,770,9.4,26.7,52176,21,192724,923702,0.000751872,0.00083,10.87,0.000254614,0.00032803,28.83,-19.23,-6.64,11.55
10819,0101000020E6100000378B170B43B053C0312592E8656A4540,WEST SENECA,42.831235,-78.754092,Point,207,FREESTANDING,1619,NY,14224,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/207,TRUE,Erie,234,327,691,10.3,28.6,46773,26,238054,919040,303,358,770,9.4,26.7,52176,21,192724,923702,0.000751872,0.00083,10.87,0.000254614,0.00032803,28.83,-19.23,-6.64,11.55
10820,0101000020E6100000062D246074AF53C01F662FDB4E7D4540,WILLIAMSVILLE,42.978969,-78.741478,Point,3863,FREESTANDING,1605,NY,14221,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/3863,TRUE,Erie,234,327,691,10.3,28.6,46773,26,238054,919040,303,358,770,9.4,26.7,52176,21,192724,923702,0.000751872,0.00083,10.87,0.000254614,0.00032803,28.83,-19.23,-6.64,11.55
10821,0101000020E6100000056EDDCD53B053C030293E3E217B4540,WILLIAMSVILLE,42.961952,-78.755115,Point,5930,FREESTANDING,1596,NY,14221,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/5930,TRUE,Erie,234,327,691,10.3,28.6,46773,26,238054,919040,303,358,770,9.4,26.7,52176,21,192724,923702,0.000751872,0.00083,10.87,0.000254614,0.00032803,28.83,-19.23,-6.64,11.55
10822,0101000020E6100000C9CC052E8FAC53C0A06CCA15DE7D4540,WILLIAMSVILLE,42.98334,-78.696239,Point,1927,FREESTANDING,1593,NY,14221,TRUE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/1927,TRUE,Erie,234,327,691,10.3,28.6,46773,26,238054,919040,303,358,770,9.4,26.7,52176,21,192724,923702,0.000751872,0.00083,10.87,0.000254614,0.00032803,28.83,-19.23,-6.64,11.55
10823,0101000020E610000097715303CDB453C0E82FF488D16D4540,BUFFALO,42.857957,-78.825013,Point,3849,FREESTANDING,1623,NY,14220,TRUE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/3849,TRUE,Erie,234,327,691,10.3,28.6,46773,26,238054,919040,303,358,770,9.4,26.7,52176,21,192724,923702,0.000751872,0.00083,10.87,0.000254614,0.00032803,28.83,-19.23,-6.64,11.55
10824,0101000020E61000007EC85BAE7EB353C029AF95D05D6A4540,LACKAWANA,42.830988,-78.804607,Point,15273,FREESTANDING,1618,NY,14218,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/15273,FALSE,Erie,234,327,691,10.3,28.6,46773,26,238054,919040,303,358,770,9.4,26.7,52176,21,192724,923702,0.000751872,0.00083,10.87,0.000254614,0.00032803,28.83,-19.23,-6.64,11.55
10825,0101000020E6100000CC9BC3B5DAB753C06C770FD07D7D4540,KENMORE,42.980402,-78.872724,Point,7452,FREESTANDING,1645,NY,14217,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/7452,TRUE,Erie,234,327,691,10.3,28.6,46773,26,238054,919040,303,358,770,9.4,26.7,52176,21,192724,923702,0.000751872,0.00083,10.87,0.000254614,0.00032803,28.83,-19.23,-6.64,11.55
